For 31 Aug,,,,
From,To,Airline,Price,Departure Time
Dubai,Paris,Delta Airlines,CAD 898,5:00 PM - 7:00 PM
Dubai,Paris,Air India,CAD 1308,7:00 PM - 5:00 AM
Dubai,Paris,Emirates,CAD 861,11:00 PM - 1:00 AM
Dubai,Paris,United Airlines,CAD 1030,6:00 PM - 4:00 AM
Dubai,Paris,Lufthansa,CAD 1470,4:00 AM - 6:00 AM
Dubai,Paris,United Airlines,CAD 1135,2:00 PM - 8:00 PM
Dubai,Paris,British Airways,CAD 274,7:00 PM - 9:00 PM
Dubai,Paris,Qatar Airways,CAD 915,9:00 PM - 8:00 AM
Dubai,Paris,Qatar Airways,CAD 692,4:00 PM - 6:00 PM
Dubai,Paris,United Airlines,CAD 264,2:00 PM - 6:00 PM
Dubai,Paris,Emirates,CAD 656,3:00 PM - 10:00 PM
Dubai,Paris,Qatar Airways,CAD 572,3:00 PM - 10:00 PM
Dubai,Paris,Emirates,CAD 709,9:00 PM - 5:00 AM
Dubai,Paris,United Airlines,CAD 915,5:00 AM - 7:00 AM
Dubai,Paris,Delta Airlines,CAD 725,2:00 AM - 2:00 PM
Dubai,Paris,Delta Airlines,CAD 1314,3:00 AM - 5:00 AM
Dubai,Paris,Emirates,CAD 1120,4:00 PM - 2:00 AM
Dubai,Paris,Delta Airlines,CAD 475,12:00 AM - 2:00 AM
Dubai,Paris,United Airlines,CAD 290,3:00 AM - 4:00 AM
Dubai,Paris,Air Canada,CAD 346,12:00 PM - 9:00 PM
Dubai,Paris,Emirates,CAD 456,11:00 AM - 11:00 PM
Dubai,Paris,Qatar Airways,CAD 1113,4:00 AM - 1:00 PM
Dubai,Paris,British Airways,CAD 1422,8:00 PM - 6:00 AM
Dubai,Paris,United Airlines,CAD 1136,3:00 PM - 2:00 AM
Dubai,Paris,Emirates,CAD 1091,12:00 PM - 1:00 PM
Dubai,Paris,Air Canada,CAD 838,4:00 PM - 4:00 AM
Dubai,Paris,Air Canada,CAD 883,2:00 AM - 9:00 AM
Dubai,Paris,Qatar Airways,CAD 1211,7:00 PM - 6:00 AM
Dubai,Paris,British Airways,CAD 512,11:00 PM - 1:00 AM
Dubai,Paris,Air India,CAD 350,11:00 AM - 3:00 PM
Dubai,Paris,American Airlines,CAD 1081,9:00 PM - 7:00 AM
Dubai,Paris,British Airways,CAD 492,5:00 PM - 7:00 PM
Dubai,Paris,Qatar Airways,CAD 690,6:00 PM - 12:00 AM
Dubai,Paris,Emirates,CAD 967,3:00 PM - 3:00 AM
Dubai,Paris,Qatar Airways,CAD 1035,2:00 PM - 5:00 PM
Dubai,Paris,Qatar Airways,CAD 1260,5:00 PM - 11:00 PM
Dubai,Paris,Air India,CAD 1491,7:00 AM - 5:00 PM
Dubai,Paris,British Airways,CAD 1294,12:00 PM - 4:00 PM
Dubai,Paris,United Airlines,CAD 500,9:00 PM - 4:00 AM
Dubai,Paris,British Airways,CAD 724,8:00 PM - 3:00 AM
Dubai,Paris,British Airways,CAD 972,4:00 AM - 4:00 PM
Dubai,Paris,United Airlines,CAD 1371,8:00 AM - 12:00 PM
Dubai,Paris,Emirates,CAD 861,9:00 AM - 10:00 AM
Dubai,Paris,Air Canada,CAD 1104,3:00 PM - 6:00 PM
Dubai,Paris,Air Canada,CAD 286,2:00 AM - 4:00 AM
Dubai,Paris,Lufthansa,CAD 878,12:00 AM - 5:00 AM
Dubai,Paris,Delta Airlines,CAD 964,3:00 PM - 2:00 AM
Dubai,Paris,United Airlines,CAD 931,8:00 PM - 8:00 AM
Dubai,Paris,United Airlines,CAD 786,5:00 PM - 3:00 AM
Dubai,Paris,Air India,CAD 749,9:00 AM - 2:00 PM
Dubai,Paris,United Airlines,CAD 994,4:00 PM - 7:00 PM
Dubai,Paris,British Airways,CAD 1376,5:00 PM - 2:00 AM
Dubai,Paris,Delta Airlines,CAD 392,7:00 PM - 7:00 AM
Dubai,Paris,Air India,CAD 809,4:00 PM - 11:00 PM
Dubai,Paris,Emirates,CAD 468,5:00 AM - 8:00 AM
Dubai,London,Emirates,CAD 900,10:00 PM - 12:00 AM
Dubai,London,Emirates,CAD 517,5:00 PM - 7:00 PM
Dubai,London,United Airlines,CAD 778,9:00 PM - 6:00 AM
Dubai,London,Air India,CAD 1489,4:00 PM - 2:00 AM
Dubai,London,United Airlines,CAD 891,1:00 AM - 10:00 AM
Dubai,London,Lufthansa,CAD 722,5:00 AM - 9:00 AM
Dubai,London,Air Canada,CAD 723,11:00 AM - 9:00 PM
Dubai,London,Emirates,CAD 1100,10:00 AM - 4:00 PM
Dubai,London,Emirates,CAD 1045,6:00 PM - 9:00 PM
Dubai,London,British Airways,CAD 1290,11:00 PM - 1:00 AM
Dubai,London,British Airways,CAD 779,12:00 AM - 7:00 AM
Dubai,London,American Airlines,CAD 1287,6:00 AM - 6:00 PM
Dubai,London,Delta Airlines,CAD 1088,5:00 AM - 7:00 AM
Dubai,London,Lufthansa,CAD 928,10:00 AM - 5:00 PM
Dubai,London,Lufthansa,CAD 805,11:00 PM - 12:00 AM
Dubai,London,Qatar Airways,CAD 399,9:00 PM - 6:00 AM
Dubai,London,American Airlines,CAD 503,4:00 PM - 2:00 AM
Dubai,London,American Airlines,CAD 770,10:00 AM - 8:00 PM
Dubai,London,Air Canada,CAD 416,6:00 PM - 7:00 PM
Dubai,London,Emirates,CAD 454,11:00 AM - 9:00 PM
Dubai,London,Air India,CAD 477,5:00 PM - 12:00 AM
Dubai,London,American Airlines,CAD 1281,4:00 AM - 7:00 AM
Dubai,London,United Airlines,CAD 435,8:00 AM - 10:00 AM
Dubai,London,Lufthansa,CAD 1422,6:00 PM - 5:00 AM
Dubai,London,British Airways,CAD 1459,5:00 AM - 7:00 AM
Dubai,London,Delta Airlines,CAD 1409,9:00 PM - 9:00 AM
Dubai,London,Qatar Airways,CAD 1099,11:00 AM - 6:00 PM
Dubai,London,Qatar Airways,CAD 1111,12:00 AM - 3:00 AM
Dubai,London,Delta Airlines,CAD 460,11:00 AM - 7:00 PM
Dubai,London,Air Canada,CAD 808,3:00 AM - 6:00 AM
Dubai,London,British Airways,CAD 553,3:00 PM - 1:00 AM
Dubai,London,Emirates,CAD 900,1:00 PM - 9:00 PM
Dubai,London,Air Canada,CAD 801,6:00 PM - 6:00 AM
Dubai,London,American Airlines,CAD 535,4:00 AM - 9:00 AM
Dubai,London,Air India,CAD 1449,4:00 AM - 1:00 PM
Dubai,London,British Airways,CAD 423,12:00 AM - 10:00 AM
Dubai,London,Air India,CAD 667,1:00 AM - 3:00 AM
Dubai,London,Lufthansa,CAD 1475,9:00 AM - 4:00 PM
Dubai,London,British Airways,CAD 1205,7:00 PM - 1:00 AM
Dubai,London,Air Canada,CAD 279,11:00 PM - 1:00 AM
Dubai,London,Lufthansa,CAD 682,10:00 AM - 2:00 PM
Dubai,London,United Airlines,CAD 397,10:00 PM - 6:00 AM
Dubai,London,Air Canada,CAD 1134,5:00 AM - 7:00 AM
Dubai,London,Air India,CAD 1335,2:00 PM - 3:00 PM
Dubai,London,Air Canada,CAD 337,12:00 AM - 3:00 AM
Dubai,London,Air India,CAD 533,10:00 PM - 5:00 AM
Dubai,London,Qatar Airways,CAD 1406,7:00 PM - 8:00 PM
Dubai,London,United Airlines,CAD 1275,12:00 AM - 6:00 AM
Dubai,London,Emirates,CAD 275,11:00 AM - 8:00 PM
Dubai,London,British Airways,CAD 874,3:00 AM - 11:00 AM
Dubai,London,Emirates,CAD 851,2:00 PM - 1:00 AM
Dubai,London,Qatar Airways,CAD 1500,11:00 AM - 8:00 PM
Dubai,London,Emirates,CAD 1454,8:00 PM - 6:00 AM
Dubai,London,Air Canada,CAD 1308,3:00 AM - 3:00 PM
Dubai,London,Air India,CAD 413,4:00 PM - 10:00 PM
Dubai,London,Qatar Airways,CAD 874,9:00 AM - 2:00 PM
Toronto,New York,Lufthansa,CAD 1433,11:00 AM - 3:00 PM
Toronto,Paris,Air Canada,CAD 627,8:00 PM - 7:00 AM
Toronto,Paris,Qatar Airways,CAD 1240,8:00 PM - 9:00 PM
Dubai,London,British Airways,CAD 700,3:00 AM - 10:00 AM
Toronto,London,Emirates,CAD 1479,5:00 AM - 5:00 PM
Dubai,New York,Lufthansa,CAD 1341,3:00 AM - 5:00 AM
